,AE,ABU,Abu al Bukhoosh,Abu al Bukhoosh,,1-------,RL,0307,,2529N 05308E,
,AE,AJP,Al Jeer Port,Al Jeer Port,RK,1-3-----,RL,1307,,2602N 05603E,
,AE,AMF,Musaffah,Musaffah,AZ,1-3-----,RL,2301,,2423N 05429E,Function is 1 and coordinates is 2423N 05429E
,AE,AMU,Abu Musa,Abu Musa,,1-------,RL,0201,,2552N 05501E,
,AE,ARP,Ahmed Bin Rashid Port,Ahmed Bin Rashid Port,AZ,1-------,RL,1407,,2532N 05533E,
,AE,AUH,Abu Dhabi,Abu Dhabi,AZ,1-345---,AI,1101,,2428N 05422E,
,AE,DBP,Dibba,Dibba,SH,1-3-----,RL,0401,,2537N 05616E,
,AE,DXB,Dubai,Dubai,DU,1-345---,AI,0407,,2515N 05516E,
,AE,END,Esnnad,Esnnad,AZ,1-------,RL,0901,,2419N 05427E,
,AE,FJR,Al Fujayrah,Al Fujayrah,FU,1--4----,AI,0212,,2507N 05620E,
,AE,FRP,Free Port,Free Port,DU,1-------,RL,1407,,2515N 05515E,
,AE,HSN,Hassyan,Hassyan,DU,1-3-----,AA,1901,,2454N 05454E,
,AE,HTL,Hulaylah Terminal,Hulaylah Terminal,,1-------,RL,0901,,2559N 05556E,
,AE,HZP,Hamriya Free Zone Port,Hamriya Free Zone Port,DU,1-------,RL,1407,,2518N 05519E,
,AE,JAZ,Al Jazeera Port,Al Jazeera Port,RK,1-------,RL,1307,,2543N 05548E,
,AE,KHL,Mina Khalifa/Abu Dhabi,Mina Khalifa/Abu Dhabi,,1-------,RL,1207,,2450N 05440E,
,AE,KLB,Kalba,Kalba,,1-3-----,RL,0601,,2504N 05621E,
,AE,KLF,Khor al Fakkan,Khor al Fakkan,,1-------,RL,0212,,2520N 05621E,
,AE,MBS,Mubarras Island,Mubarras Island,,1-------,RL,2407,,2435N 05319E,
,AE,MKH,Mina Khalid,Mina Khalid,SH,1-3-----,RL,0401,,2521N 05522E,
,AE,MRP,Mina Rashid Port,Mina Rashid Port,AZ,1-------,RL,1407,,2516N 05517E,
,AE,MSA,Mina Saqr,Mina Saqr,RK,1-------,RL,2007,,2558N 05604E,
,AE,MZD,Mina Zayed/Abu Dhabi,Mina Zayed/Abu Dhabi,AZ,1-------,RL,0401,,2431N 05422E,
,AE,QIW,Umm al Quwain,Umm al Quwain,,1--4----,AI,2007,,2535N 05535E,
,AE,QWE,Jebel Ali Free Zone,Jebel Ali Free Zone,DU,1-3-----,RL,1401,,2500N 05503E,
,AE,RFA,Mirfa,Mirfa,AZ,1----6--,RL,0907,,2528N 05329E,
,AE,RKP,Rak Khor Port,Rak Khor Port,RK,1-------,RL,1307,,2549N 05557E,
,AE,RKT,Ras al Khaimah,Ras al Khaimah,,1--4----,AI,0212,,2547N 05557E,
,AE,RMC,Rak Maritime City,Rak Maritime City,RK,1-------,RL,1307,,2557N 05603E,
,AE,RUW,Ar Ruways,Ar Ruways,,1-------,RL,0212,,2407N 05244E,
,AE,RWP,Ruwais Port,Ruwais Port,AZ,1-------,RL,1407,,2406N 05243E,
,AE,SHJ,Sharjah,Sharjah,SH,1-34----,AI,1307,,2521N 05523E,
,AE,SID,Sadiyat Island,Sadiyat Island,,1-------,RL,0901,,2432N 05424E,
,AE,ULR,Umm Al Nar,Umm Al Nar,,1-------,RL,0201,,2426N 05430E,
,AE,YAS,Yas Island,Yas Island,AZ,1-------,RL,1207,,2419N 05236E,
,AE,ZUR,Zirku Island,Zirku Island,AZ,1-------,RL,0212,,2453N 05304E,
,AF,DHD,Dehdadi,Dehdadi,BAL,1----6--,RL,1201,,3639N 06659E,
,AF,QLT,Qalat,Qalat,,1-3-----,RL,0601,,3206N 06653E,
,AF,RKH,Torkham,Torkham,NAN,1-------,RL,0901,,3453N 07155E,
,AG,FAM,Falmouth,Falmouth,,1----6--,RL,1107,,1701N 06147W,
,AG,PHM,Parham,Parham,,1----6--,RL,1107,,1705N 06145W,
,AG,SJO,Saint John's,Saint John's,,1-------,AI,1101,,1707N 06151W,
,AI,MBB,Meads Bay Beach,Meads Bay Beach,,1-------,RL,1601,,1810N 06308W,
,AI,RBY,Road Bay,Road Bay,,1-3-----,AS,0001,,1812N 06305W,
,AI,SOM,Sombrero,Sombrero,,1-------,RL,0901,,1836N 06328W,
,AL,BUT,Butrint,Butrint,SR,1-------,RL,0901,,3945N 02001E,
,AL,HMR,Himare,Himare,SR,1-------,RL,0901,,4008N 01943E,
,AL,ROM,Romano Port,Romano Port,02,1-3-----,RL,1901,,4122N 01925E,
,AL,SAR,Sarandë,Sarande,SR,1-------,RL,0212,,3953N 02000E,
,AL,SHG,Shëngjin,Shengjin,LE,1-------,RL,0212,,4148N 01934E,
,AL,VOA,Vlorë,Vlore,VL,1-------,RL,1501,,4028N 01929E,
,AO,BAB,Baba,Baba,,1-------,RL,0901,,1450S 01214E,
,AO,BDT,Baía dos Tigres,Baia dos Tigres,,1-------,RL,0212,,1636S 01144E,
,AO,CPO,Capulo,Capulo,,1-------,RL,0901,,0759S 01310E,
,AO,CUI,Cuio,Cuio,,1-------,RL,0901,,1259S 01259E,
,AO,DAL,Dalia,Dalia,,1-------,RL,0307,,0741S 01147E,
,AO,ETN,Essungo Terminal,Essungo Terminal,,1-------,RL,0901,,0620S 01210E,
,AO,FBY,Farta Bay,Farta Bay,,1-------,RL,0901,,1237S 01312E,
,AO,FLT,Futila Terminal,Futila Terminal,,1-------,RL,0901,,0527S 01211E,
,AO,GIM,Gimboa,Gimboa,,1-------,RL,1107,,0732S 01210E,
,AO,GIR,Girassol Terminal,Girassol Terminal,,1-------,RL,0901,,0738S 01141E,
,AO,GPO,Greater Plutonio,Greater Plutonio,,1-------,RL,1601,,0750S 01207E,
,AO,LBT,Lombo Terminal,Lombo Terminal,,1-------,RL,0901,,0659S 01221E,
,AO,NQI,Nóqui,Noqui,,123-----,RL,0901,,0551S 01326E,
